English,Chinese,Status,Notes
"Style and shape of the support. For normal support, projecting the supports into a regular grid will create more stable supports (default), while snug support towers will save material and reduce object scarring.
For tree support, slim style will merge branches more aggressively and save a lot of material, strong style will make larger and stronger support structure and use more materials, while hybrid style is the combination of slim tree and normal support with normal nodes under large flat overhangs. Organic style will produce more organic shaped tree structure and less interfaces which makes it easer to be removed. The default style is organic tree for most cases, and hybrid tree if adaptive layer height or soluble interface is enabled.","支撑的样式和形状。对于普通支撑，将支撑投射到一个规则的网格中，将创建更稳定的支撑（默认），而紧贴的支撑塔将节省材料并减少物体的瑕疵。
对于树形支撑，苗条树将更激进地合并树枝，并节省大量的材料；粗壮树会产生更大更强壮的支撑结构，但用料更多；而混合树是苗条树和普通支撑的结合，它会在大的平面悬垂下创建与正常支撑类似的结构；有机树将产生更有机的树状结构，并且减少界面层，这使得它们更容易被移除。多数情况下，默认风格是有机树，如果启用了自适应层高或使用了可溶性支撑材料，则为混合树。",✓ Translated,
Subscription:,订阅：,✓ Translated,
"Subtract a Part
Did you know that you can subtract one mesh from another using the Negative part modifier? That way you can, for example, create easily resizable holes directly in Bambu Studio. Read more in the documentation.","减去部分几何体
您知道吗？您可以使用负零件从另一个几何体中减去另一个几何体。例如，可以直接在Bambu Studio中创建可轻松调整大小的孔。",✓ Translated,
Successfully obtained PAT.,成功获得PAT。,✓ Translated,
Successfully synchronized color and type of filament from printer.,成功从打印机同步耗材颜色和类型。,✓ Translated,
Successfully unmounted. The device %s(%s) can now be safely removed from the computer.,卸载成功。设备%s(%s)现在可能安全地从电脑移除。,✓ Translated,
Suggestions,建议,✓ Translated,
Support control chamber temperature,支持腔温控制,✓ Translated,
Support layer uses layer height independent with object layer. This is to support customizing z-gap and save print time.This option will be invalid when the prime tower is enabled.,支撑层使用与对象层独立的层高。这是为了支持自定义z-gap并且节省打印时间。当擦料塔被启用时，这个选项将无效。,✓ Translated,
"Switch to rectilinear pattern?
Yes - switch to rectilinear pattern automatically
No  - reset density to default non 100% value automatically","切换到直线图案？
是 - 自动切换到直线图案
否 - 自动将密度重置为默认的非100%值",✓ Translated,
Synchronize filament list from AMS,从AMS同步材料列表,✓ Translated,
Synchronizing Helio,正在同步 Helio,✓ Translated,
Terms of Use,使用条款,✓ Translated,
"Thank you for purchasing a Bambu Lab device.Before using your Bambu Lab device, please read the termsand conditions.By clicking to agree to use your Bambu Lab device, you agree to abide by the Privacy Policy and Terms of Use(collectively, the ""Terms""). If you do not comply with or agree to the Bambu Lab Privacy Policy, please do not use Bambu Lab equipment and services.",感谢您购买Bambu Lab设备，使用Bambu Lab设备前，请阅读一下条款，单击同意使用您的Bambu Lab设备即表示您同意遵守隐私政策以及使用条款（统称为“条款”）。如果您不符合或不同意Bambu Lab隐私政策，请不要使用Bambu Lab设备和服务。,✓ Translated,
"The 3mf is not from Bambu Lab, load geometry data only.",该3mf文件不是来自Bambu Lab，将只加载几何数据。,✓ Translated,
The AMS will not automatically read information from inserted filament during startup and will continue to use the information recorded before the last shutdown.,AMS不会在启动时自动读取耗材丝信息。它会使用上次关机前记录的信息。,✓ Translated,
The Bambu Studio version is too old to enable cloud service. Please download the latest version from Bambu Lab website.,"当前BambuStudio的版本过低导致云端服务不可用,请从官网更新BambuStudio到最新版本。",✓ Translated,
"The chamber temperature is too high, which may cause the filament to soften. Please wait until the chamber temperature drops below %d℃. You may open the front door or enable fans to cool down.",腔温过高，可能导致打印材料软化。请等待腔温降至%d℃。您可以打开前门或启用风扇进行降温。,✓ Translated,
"The configuration package is incompatible with current application.
%s will update the configuration package, Otherwise it won't be able to start","配置包和当前的应用程序不兼容。
%s会更新配置包，否则无法正常启动",✓ Translated,
"The current chamber temperature or the target chamber temperature exceeds 45℃.In order to avoid extruder clogging,low temperature filament(PLA/PETG/TPU) is not allowed to be loaded.",当前腔温或目标腔温超过了45℃。为了避免挤出机堵塞，不允许加载低温度的打印材料（如PLA/PETG/TPU）,✓ Translated,
The current printer preset cannot be sliced using Helio.,当前打印机预设无法使用 Helio 功能。,✓ Translated,
"The current project has unsaved changes, save it before continue?",当前项目包含未保存的修改。是否先保存？,✓ Translated,
"The current project has unsaved changes, save it before continuing?",当前项目有未保存的更改，是否保存后再继续？,✓ Translated,
"The distance from the boundary between filaments to generate interlocking structure, measured in cells. Too few cells will result in poor adhesion.",从耗材丝之间的边界到产生互锁的距离以细胞为单位测量的结构。细胞太少会导致粘附不良。,✓ Translated,
"The distance from the outside of a model where interlocking structures will not be generated, measured in cells.",互锁结构与模型外部的距离不生成，以单元格为单位测量。,✓ Translated,
The distance to keep the from the edges of ironing line. 0 means not apply.,这个表示熨烫区域距离轮廓边界的距离，0表示不使用。,✓ Translated,
The filament may not be compatible with the current machine settings. A random filament preset will be used.,该材料与当前机器设置不兼容，将使用随机的材料预设。,✓ Translated,
The filament may not be compatible with the current machine settings. Generic filament presets will be used.,该材料与当前机器设置不兼容，将使用通用的材料预设。,✓ Translated,
The filament type setting of external spool is different from the filament in the slicing file.,外挂槽的耗材设置与切片文件中的耗材不同，可能会引起打印不良。,✓ Translated,
The following plates are skipped due to different arranging settings from global:,由于单盘摆盘设置与全局不同，以下盘被跳过：,✓ Translated,
"The generic presets are conservatively tuned for compatibility with a wider range of filaments. For higher printing quality and speeds, please use Bambu filaments with Bambu presets.",Generic 参数为了兼容更多种耗材而进行了较为保守的调校，使用拓竹原装耗材配合拓竹专用参数可获得更高的打印质量与更高的打印速度。,✓ Translated,
The nozzle diameter has been synchronized from the printer Settings,喷嘴直径已从打印机设置同步,✓ Translated,
"The nozzle type and AMS quantity information has not been synced from the connected printer.
After syncing, software can optimize printing time and filament usage when slicing.
Would you like to sync now ?",喷嘴和AMS数量信息尚未从当前连接的打印机同步。同步后，软件能够在切片时优化打印时间并减少打印时耗材浪费。是否现在同步？,✓ Translated,
"The number of walls, counted from the center, over which the variation needs to be spread. Lower values mean that the outer walls don't change in width",从中心开始计算的墙层数，线宽变化需要分布在这些墙走线上。较低的数值意味着外墙宽度更不易被改变,✓ Translated,
"The object from file %s is too small, and maybe in meters or inches.
 Do you want to scale to millimeters?","文件 %s 中对象的尺寸似乎是以米或者英寸为单位定义的。
BambuStudio的内部单位为毫米。是否要转换成毫米？",✓ Translated,
The part cools too fast between layers on average. Some layers may behave differently—see observations.,零件层间平均冷却过快。某些层可能表现不同 — 查看观察结果。,✓ Translated,
The part stays too warm between layers on average. Some layers may behave differently—see observations.,零件层间平均温度过高。某些层可能表现不同 — 查看观察结果。,✓ Translated,
The printer has already been bound.,打印机已绑定。,✓ Translated,
"The printer mode is incorrect, please switch to LAN Only.",打印机模式不正确，请切换到仅局域网。,✓ Translated,
"The remaining part of the model contour after removing a certain depth from the surface is called the skeleton. This parameter is used to adjust the density of this section.When two regions have the same sparse infill settings but different skeleton densities, their skeleton areas will develop overlapping sections.default is as same as infill density.",去除表面一定深度之后余留的部分被称作骨架。这个参数用于调整骨架部分的密度。两个有同样的稀疏填充密度但是不同骨架密度的区域走线会有重叠的部分。默认值和稀疏填充密度一致。,✓ Translated,
The selected printer (%s) is incompatible with the chosen printer profile in the slicer (%s).,所选打印机（%s）与切片软件中选择的打印机配置文件（%s）不兼容。,✓ Translated,
The selected printer (%s) is incompatible with the print file configuration (%s). Please adjust the printer preset in the prepare page or choose a compatible printer on this page.,当前选择的打印机（%s）与打印文件配置（%s）不兼容，请前往准备界面重新选择打印机预设，或在此页面选择兼容的打印机。,✓ Translated,
The selected printer is incompatible with the chosen printer presets.,所选打印机与选择的打印机预设不兼容。,✓ Translated,
"The smaller the number, the longer the speed transition path. 0 means not apply.",数值越小速度过渡区越大。0表示不应用。,✓ Translated,
The start and end points which are from cutter area to garbage can.,从切割区域到垃圾桶的起始和结束点。,✓ Translated,
The toolhead and hotend rack may move. Please keep your hands away from the chamber.,工具头和热端架可能会运动，请勿将手伸入机箱。,✓ Translated,
The wall of prime tower will skip the start points of wipe path,擦料塔的外墙跳过内部擦拭路径的起点,✓ Translated,
"There are no compatible filaments, and sync is not performed.",没有任何兼容的材料，同步操作未执行。,✓ Translated,
"There are some unknown or uncompatible filaments mapped to generic preset.
Please update Bambu Studio or restart Bambu Studio to check if there is an update to system presets.","有一些未知或不兼容的耗材映射到通用预设。
请更新Bambu Studio或重新启动Bambu Studio，以检查是否有系统预设的更新。",✓ Translated,
There are warnings after slicing models:,模型切片警告：,✓ Translated,
"There many parts of the software that come from community contributions, so we're unable to list them one-by-one, and instead, they'll be attributed in the corresponding code comments.",软件中有很多部分来自于社区贡献，因此我们不便逐一列出他们，作为替代，他们将在相应的代码注释中被介绍。,✓ Translated,
Thermal Preconditioning for first layer optimization,首层优化保温准备,✓ Translated,
Thermal conditions are balanced. The part is printing within safe temperature limits.,热条件平衡。零件在安全温度范围内打印。,✓ Translated,
"This filament has high enough hardness (about 67D)  and is compatible with the AMS. Printing it is of many requirements, and to get better printing quality, please refer to this wiki: TPU printing guide.",此耗材的硬度较高（约 67D），可通过 AMS 打印。其使用要求较高，为保证打印质量，请查阅 wiki: TPU 打印建议。,✓ Translated,
"This filament is only used to print models with a low density usually, and some special parameters are required. To get better printing quality, please refer to this wiki: ASA Aero Printing Guide.",此耗材通常只用于打印低密度的模型，且必须使用特殊参数。为保证打印质量，请查阅 wiki: 发泡 ASA （ASA Aero）打印指南。,✓ Translated,
"This filament is only used to print models with a low density usually, and some special parameters are required. To get better printing quality, please refer to this wiki: Instructions for printing RC model with foaming PLA (PLA Aero).",此耗材通常只用于打印低密度的模型，且必须使用特殊参数。为保证打印质量，请查阅 wiki: 发泡 PLA（PLA Aero）打印航模操作指南。,✓ Translated,
"This filament is too soft and not compatible with the AMS. Printing it is of many requirements, and to get better printing quality, please refer to this wiki: TPU printing guide.",此耗材太软，不适配 AMS。其使用要求较高，为保证打印质量，请查阅 wiki: TPU 打印建议。,✓ Translated,
"This file is not from a trusted site, do you want to open it anyway?",This file is not from a trusted site; do you want to open it anyway?,✓ Translated,
"This is a non-water-soluble support filament, and usually it is only for the support structure and not for the model body. To get better printing quality, please refer to this wiki: Printing Tips for Support Filament and Support Function.",此为非水溶性支撑耗材，通常只能用于打印支撑结构，不能用于打印模型主体。为保证打印质量，请查阅 wiki: 支撑耗材与支撑功能的介绍。,✓ Translated,
"This is a water-soluble support filament, and usually it is only for the support structure and not for the model body. Printing this filament is of many requirements, and to get better printing quality, please refer to this wiki: PVA Printing Guide.",此为水溶性支撑耗材，通常只能用于打印支撑结构，不能用于打印模型主体。其使用要求较高，为保证打印质量，请查阅 wiki: PVA 打印指南。,✓ Translated,
"This is neither a commonly used filament, nor one of Bambu filaments, and it varies a lot from brand to brand. So, it's highly recommended to ask its vendor for suitable profile before printing and adjust some parameters according to its performances.",此耗材较为小众，拓竹并未出售，且不同品牌的差异很大，故强烈建议打印前向厂家咨询预设参数，并根据打印表现来调整打印参数。,✓ Translated,
"This object will be used to purge the nozzle after a filament change to save filament and decrease the print time. Colours of the objects will be mixed as a result. It will not take effect, unless the prime tower is enabled.",换料后的过渡料会被用来打印这个对象。这样可以减少材料浪费和缩短打印时间，但是这个对象的外观会是混色的。该功能只有在启用擦料塔的时候才生效。,✓ Translated,
This option is enabled if machine support controlling chamber temperature,此选项在支持腔温控制时启用。,✓ Translated,
"This option will auto detect narrow internal solid infill area. If enabled, concentric pattern will be used for the area to speed printing up. Otherwise, rectilinear pattern is used defaultly.",此选项用于自动识别内部狭窄的实心填充。开启后，将对狭窄实心区域使用同心填充加快打印速度。否则使用默认的直线填充。,✓ Translated,
"This parameter reflects the speed at which a material transitions from one state to another. It, along with the smooth coefficient, determines the final length of the transition zone. A larger value: requires a shorter transition zone. A smaller value: requires a longer transition zone to avoid flow instability.","此参数反映材料从一种状态过渡到另一种状态的速度。它与平滑系数一起决定过渡区的最终长度。
大数值：需要较短的过渡区。
小数值：需要较长的过渡区以避免流动不稳定。",✓ Translated,
"Tip: Calibrating foam filaments(%s) in X series printers may not get accurate results
because their dynamic response is much different from that of ordinary filaments, and there is a high risk of oozing when printing calibration lines.","提示：X系列设备校准发泡材料（%s）可能无法得到一个准确的校准值，
因为它的动态响应和普通材料差距较大，且在打印校准线的时候有较大的漏料风险。",✓ Translated,
"To get better transparent or translucent results with the corresponding filament, please refer to this wiki: Printing tips for transparent PETG.",若要用此耗材的透明耗材打印透明效果很好的模型，请查阅 wiki: 透明 PETG 打印指南。,✓ Translated,
"To prevent oozing, the nozzle temperature will be cooled during ramming. Note: only a cooldown command and fan activation are triggered, reaching the target temperature is not guaranteed. 0 means disabled.",为防止漏料，喷嘴温度将在预冲刷过程中被冷却。注意：此过程仅会触发降温指令和风扇启动，但不保证能达到目标温度。设置为 0 表示禁用。,✓ Translated,
To save cut correspondence you can delete all connectors from all related objects.,为保证切割关系，您可以将所有关联对象的连接件一起删除。,✓ Translated,
Too cold (overall),整体过冷,✓ Translated,
Too cold overall — see suggestions,整体过冷 — 查看建议,✓ Translated,
Too hot (overall),整体过热,✓ Translated,
Too hot overall — see suggestions,整体过热 — 查看建议,✓ Translated,
Top surface pattern,顶面图案,✓ Translated,
True multi-material support will be added in a future update.,真正的多材料支持将在未来更新中添加。,✓ Translated,
Try the following methods to update the connection parameters and reconnect to the printer.,尝试以下方法更新连接参数并重新连接打印机。,✓ Translated,
"Turning off this option will affect print quality if:
1. Uncalibrated hotends is used
2. The current nozzle, heatbed, or chamber temperature differs from the calibration conditions
3. The toolhead hotend was manually removed or installed","出现以下情况时，关闭该选项会影响打印质量：
1.当前打印使用了未被校准的热端
2.当前打印的喷嘴温度、热床温度、腔温与校准时不同
3.手动拆装过工具头热端",✓ Translated,
Uninstall,卸载,✓ Translated,
Uninstall Helio Additive,卸载 Helio Additive,✓ Translated,
Unknown,未知,✓ Translated,
Unknown filename,未知文件名,✓ Translated,
Unlimited*,无限*,✓ Translated,
"Unlock a world of faster, more reliable printing with Helio's state of the art physics based 3d printing simulation technology.",使用 Helio 最先进的基于物理的3D打印仿真技术，解锁更快、更可靠的打印世界。,✓ Translated,
"Unlock faster, more reliable, warp-free prints with Helio Additive.",使用 Helio Additive 解锁更快、更可靠、无翘曲的打印。,✓ Translated,
Unsupported Material Detected,检测到不支持的材料,✓ Translated,
Unsupported Materials Detected,检测到不支持的材料,✓ Translated,
Unsupported Printer Detected,检测到不支持的打印机,✓ Translated,
"Upper half area:  Original
Lower half area: The filament from original project will be used when unmapped.
And you can click it to modify","上半部分：原项目耗材
下半部分：未匹配则使用原项目耗材
您可以单击它进行修改",✓ Translated,
"Use only one wall on flat top surface, to give more space to the top infill pattern. Could be applied on topmost surface or all top surface.",顶面只使用单层墙，从而更多的空间能够使用顶部填充图案。可以应用于最顶部表面或所有顶部表面。,✓ Translated,
Use this setting to rotate the support pattern on the horizontal plane.,设置支撑图案在水平面的旋转角度。,✓ Translated,
Uses the chamber temperature from Filament settings when available; otherwise estimates it from the build plate temperature.,在可用时使用耗材设置中的腔温；否则从热床温度估算。,✓ Translated,
"Using multiple lines for the infill pattern, if supported by infill pattern.",启用多线填充模式，当所选填充图案支持时生效。,✓ Translated,
Value %s is out of range. The valid range is from %d to %d.,值 %s 超出了范围，有效的范围是从 %d 到 %d 。,✓ Translated,
Verify Print Success Results,验证打印成功结果,✓ Translated,
View Details,查看详情,✓ Translated,
View Liveview,查看LiveView,✓ Translated,
View Summary,查看摘要,✓ Translated,
View Wiki for more information,查看Wiki以获取更多信息,✓ Translated,
Waiting for the Chamber temperature to equalize,等待腔温匀热,✓ Translated,
"Warning:old matrix has at least two parameters: mirroring, scaling, and rotation. If you continue editing, it may not be correct. Please dragging text or cancel using current pose, save and reedit again.",警告：旧矩阵至少有两个参数：镜像、缩放和旋转。如果继续编辑，则可能不正确。请拖动文本或取消使用当前姿势，保存并重新编辑。,✓ Translated,
Welcome to Helio Additive,欢迎使用 Helio Additive,✓ Translated,
What kind of gcode the printer is compatible with,打印机兼容的G-code风格',✓ Translated,
"When changing the extruder, it is recommended to extrude a certain length of filament from the original extruder. This helps minimize nozzle oozing.",更换挤出机时，建议从原挤出机中挤出一定长度的耗材丝。这有助于最大限度地减少喷嘴漏料。,✓ Translated,
"When changing the hotend, it is recommended to extrude a certain length of filament from the original nozzle. This helps minimize nozzle oozing.",更换热端时，建议从原热端中挤出一定长度的耗材丝。这有助于最大限度地减少喷嘴漏料。,✓ Translated,
"When enabled, the extrusion flow is limited by the smaller of the fitted value (calculated from line width and layer height) and the user-defined maximum flow. When disabled, only the user-defined maximum flow is applied.",启用时，体积速度取“拟合值（由线宽和层高计算）“与”用户定义的最大值”中的较小值。禁用时，仅应用用户定义的最大值。,✓ Translated,
"When need to print with the printer door opened
Did you know that opening the printer door can reduce the probability of extruder/hotend clogging when printing lower temperature filament with a higher enclosure temperature. More info about this in the Wiki.","什么时候需要打开机箱门打印
您知道吗？在较高腔温下打印低温耗材，打开机箱门可以减少挤出机/热端堵塞的概率。有关此的更多信息，请参阅Wiki。",✓ Translated,
"When printing this filament, there's a risk of nozzle clogging, oozing, warping and low layer adhesion strength. To get better results, please refer to this wiki: Printing Tips for High Temp / Engineering materials.",此耗材打印时有堵喷嘴、漏料、翘曲、层间强度较低等风险。为获得更好的打印效果，请查阅 wiki: 工程材料打印指南。,✓ Translated,
"When printing this filament, there's a risk of warping and low layer adhesion strength. To get better results, please refer to this wiki: Printing Tips for High Temp / Engineering materials.",此耗材打印时有翘曲、层间强度较低等风险。为获得更好的打印效果，请查阅 wiki: 工程材料打印指南。,✓ Translated,
"When sparse infill density is low, the internal solid infill or internal bridge may have no archor at the end of line. This causes falling and bad quality when printing internal solid infill. When enable this feature, loop paths will be added to the sparse fill of the lower layers for specific thickness, so that better archor can be provided for internal bridge. 0 means disable this feature",如果开启，Studio会沿着内部桥接的边沿在其下方生成支撑轮廓。这些支撑轮廓可以防止悬空地打印内部桥接并提高顶面质量，特别是在填充密度较低的情况下。这个设置用于调整支撑轮廓的厚度，0表示关闭此特性。,✓ Translated,
"When using PLA to support TPU, We recommend the following settings:
0 top z distance, 0 interface spacing, 0 support/object xy distance, interlaced rectilinear pattern, disable 
independent support layer height and use PLA for both support interface and support base","当使用PLA作为支撑材料支撑TPU时，我们推荐以下设置：
0顶部z距离，0接触面间距，0支撑/模型XY距离，交叠直线图案，禁用支撑独立层高，并将PLA同时用于支撑接触面和支撑主体",✓ Translated,
"When using soluble material for the support interface, We recommend the following settings:
0 top z distance, 0 interface spacing, 0 support/object xy distance, interlaced rectilinear pattern, disable 
independent support layer height and use soluble materials for both support interface and support base","当支撑接触面使用可溶性材料时，我们推荐以下设置：
0顶部z距离，0接触面间距，0支撑/模型XY距离，交叠直线图案，禁用支撑独立层高，并将可溶性材料同时用于支撑接触面和支撑主体",✓ Translated,
"When using soluble material for the support, We recommend the following settings:
0 top z distance, 0 interface spacing, 0 support/object xy distance, interlaced rectilinear pattern, disable 
independent support layer height and use soluble materials for both support interface and support base","当使用可溶性材料作为支撑时，我们推荐以下设置：
0顶部z距离，0接触面间距，0支撑/模型XY距离，交叠直线图案，禁用支撑独立层高，并将可溶性材料同时用于支撑接触面和支撑主体",✓ Translated,
"When using support material for the support interface, We recommend the following settings:
0 top z distance, 0 interface spacing, interlaced rectilinear pattern and disable independent support layer height","当支撑接触面使用支撑材料时，我们推荐以下设置：
0顶部z距离，0接触面间距，交叠直线图案，并且禁用支撑独立层高",✓ Translated,
"When you confirm to enable this feature, it means that you have confirmed and agreed to the above statements.",当您确认开启此功能后，代表您已经确认和同意以上声明。,✓ Translated,
"When you set the chamber temperature below 40℃, the chamber temperature control will not be activated. And the target chamber temperature will automatically be set to 0℃.",当您设置的腔温低于40℃时，腔温控制将不会启动。并且目标腔温将自动设置为0℃。,✓ Translated,
"Whenever the retraction is done, the nozzle is lifted a little to create clearance between nozzle and the print. It prevents nozzle from hitting the print when travel moves. Using spiral line to lift z can prevent stringing",回抽完成之后，喷嘴轻微抬升，和打印件之间产生一定间隙。这能够避免空驶时喷嘴和打印件剐蹭和碰撞。使用螺旋线抬升z能够减少拉丝。,✓ Translated,
Where to find your printer's IP and Access Code?,在哪里可以找到打印机的IP和访问代码?,✓ Translated,
Wiki,Wiki,✓ Translated,
With Enhance Speed & Quality:,使用速度和质量增强：,✓ Translated,
You are activating Helio Additive's advanced simulation services.,您正在激活 Helio Additive 的高级仿真服务。,✓ Translated,
You can find it from 'Filament settings' -> 'Advanced'.,您可以在“耗材设置”->“高级”中找到它,✓ Translated,
You can find it from 'Printer settings' -> 'Machine G-code'.,您可以在“打印机设置”->“打印机 G-code”中找到它。,✓ Translated,
You can find them from 'Printer settings' -> 'Machine G-code' and 'Filament settings' -> 'Advanced'.,您可以在“打印机设置”->“打印机 G-code”和“耗材设置”->“高级”中找到它们。,✓ Translated,
"You can keep the modified presets for the new project, discard or save changes as new presets.",您可以保留未保存修改的预设应用到新项目中，或者选择忽略。,✓ Translated,
You have entered an illegal input in the printable area section on the first page. Please check before creating it.,您在第一页的可打印区域部分输入了非法输入。请检查后再创建。,✓ Translated,
"You're nearly there! Now that Helio is activated, your first optimization run for faster, more reliable printing takes only minutes! (Now referred to as 'Enhance' or 'Enhancement')","您快成功了！Helio 已激活，您的首次优化只需几分钟即可实现更快、更可靠的打印！（现称为""增强""）",✓ Translated,
You're using %s which is not officially supported by Helio.,您正在使用的 %s 不是 Helio 官方支持的。,✓ Translated,
Your free trial has ended. Explore our plans to continue using premium features.,您的免费试用已结束。请查看我们的套餐以继续使用高级功能。,✓ Translated,
Your gcode has been improved for the best possible print. To further improve your print please check out our wiki for tips & tricks on what to do next.,您的G代码已完成优化，以实现最佳打印效果。若需进一步提升打印质量，可查阅我们的wiki文档，获取后续操作的实用技巧与建议。,✓ Translated,
Your part is ready to print! Thermal conditions are within safe limits.,您的零件已准备好打印！热条件在安全范围内。,✓ Translated,
connecting...,连接中...,✓ Translated,
debug save button,保存,✓ Translated,
illegal characters:,非法字符：,✓ Translated,
illegal suffix:,非法后缀：,✓ Translated,
reconnect,重新连接,✓ Translated,
resume,继续,✓ Translated,
save debug settings,保存调试设置,✓ Translated,
sending failed,发送失败,✓ Translated,
the Configuration package is incompatible with current APP.,the Configuration package is incompatible with current APP.,✓ Translated,
the configuration package is incompatible with current application.,配置包和当前的应用程序不兼容。,✓ Translated,
to,到,✓ Translated,
upward compatible machine,向上兼容的机器,✓ Translated,
version %s update information :,版本 %s 更新信息,✓ Translated,
⚠ Multiple Filament Materials Detected,⚠ 检测到多种耗材,✓ Translated,
⚠ This is not recommended. Filament formulations vary significantly between manufacturers and materials. Helio cannot guarantee reliable results in this configuration.,⚠ 不推荐此操作。不同制造商和材料的耗材配方差异很大。Helio 无法保证在此配置下获得可靠结果。,✓ Translated,
⚠ Unsupported Material Detected,⚠ 检测到不支持的材料,✓ Translated,
⚠ Unsupported Materials Detected,⚠ 检测到不支持的材料,✓ Translated,
⚠ Unsupported Printer Detected,⚠ 检测到不支持的打印机,✓ Translated,
⚠️ May Print with Issues,⚠️ 可能存在问题,✓ Translated,
✅ Will Print,✅ 可以打印,✓ Translated,
❌ Likely to Fail,❌ 可能失败,✓ Translated,
